step,tau,a,chi,chi_over_chicrit,chi_crit,cl_support,R_q_to_cl,R_cl_to_q,leak_norm
0.0,0.0,0.05,1.8,12.599999999999998,0.14285714285714288,0.4478828286313629,0.0006631002930490441,0.0003540958437221109,1.9725000000000001
1.0,0.02,0.06580662061770522,1.7786669848314858,9.460042756298716,0.18801891605058635,0.4451065451149728,0.0006404285760743663,0.0003500710205481651,1.9424733434917476
2.0,0.04,0.08135024201925048,1.7576184056230837,7.561949745920954,0.23242926291214425,0.4424046777085314,0.0006197684214576606,0.0003481158024214045,1.9128757725124959
3.0,0.06,0.09663524012972247,1.7368504699518872,6.29064162998015,0.27610068608492133,0.43977920032683515,0.0006008689362300065,0.00034785351312669783,1.8837010878805396
4.0,0.08,0.11166591806516872,1.7163594359598733,5.379670117746843,0.3190454801861964,0.4372311305323032,0.0005835031944962124,0.0003489423979894084,1.8549431810240307
5.0,0.1,0.1264465073440333,1.6961416116797159,4.694867233245992,0.3612757352686666,0.4347606412840154,0.0005674674078045369,0.0003510754957712345,1.8265960326404973
6.0,0.12,0.14098116907843772,1.6761933543695855,4.161319400770116,0.4028033402241078,0.43236716790820756,0.000552579778540394,0.0003539798500224987,1.7986537113764445
7.0,0.14,0.1552739951456397,1.6565110698568188,3.733908397900635,0.4436399861303992,0.4300495087286012,0.000538679142183898,0.00035741520759760185,1.7711103725267168
8.0,0.16,0.16932900934000045,1.637091211890341,3.383837928273193,0.48379716954285845,0.42780591841113524,0.0005256234840121144,0.0003611723354892225,1.7439602567533408
9.0,0.18,0.1831501685057857,1.6179302815017187,3.0918650151703955,0.5232861957308163,0.42563419355150717,0.0005132883975857179,0.0003650710695711161,1.7171976888235365
10.0,0.2,0.19674136365111783,1.5990248263747362,2.8446417105434034,0.5621181818603367,0.42353175038541235,0.0005015655365276783,0.0003689581914303157,1.6908170763666213
11.0,0.22,0.21010642104339367,1.5803714402233733,2.632618276639635,0.600304060123982,0.4214956947518903,0.0004903610977676393,0.00037270521299824776,1.6648129086495067
12.0,0.24,0.22324910328647624,1.56196676217808,2.448781915423016,0.6378545808185035,0.41952288461041715,0.00047959436347570636,0.00037620613362523845,1.6391797553705179
13.0,0.26,0.2361731103799637,1.5438074761802316,2.2878667931068644,0.6747803153713249,0.4176099855208085,0.0004691963201214754,0.00037937522082320455,1.6139122654712514
14.0,0.28,0.24888208076083285,1.525890310384659,2.1458419465234444,0.7110916593166653,0.41575351955732553,0.0004591083661895557,0.0003821448541994483,1.589005165966201
15.0,0.3,0.2613795923277525,1.5082120365701452,2.019569347776899,0.74679883522215,0.4139499081574145,0.00044928111477236956,0.0003844634620859046,1.564453260789881
16.0,0.32,0.27366916344835257,1.4907694695577802,1.9065696250563957,0.7819118955667217,0.41219550941132943,0.0004396732932664507,0.00038629357192631003,1.5402514296611862
17.0,0.34,0.28575425394973397,1.473559466637073,1.8048578671857625,0.8164407255706685,0.41048665028916786,0.00043025073946950003,0.0003876099884798254,1.5163946269647193
18.0,0.36,0.29763826609249866,1.4565789269997145,1.7128262139904615,0.8503950459785676,0.4088196542822452,0.0004209854912912943,0.0003883981081727312,1.4928778806488399
19.0,0.38,0.3093245455285718,1.4398247911808892,1.6291583846092266,0.8837844157959195,0.40719086491030554,0.00041185496586940726,0.00038865237332231774,1.4696962911401745
20.0,0.4,0.32081638224308867,1.4232940405080379,1.5527664475698542,0.9166182349802534,0.40559666551762663,0.0004028412229661049,0.0003883748663138722,1.446845030274339
21.0,0.42,0.33211701148060874,1.4069836965569684,1.4827433608401333,0.9489057470874536,0.40403349575151737,0.00039393030699220137,0.00038757404099048576,1.4243193402426333
22.0,0.44,0.3432296146559195,1.3908908206152186,1.4183268763196473,0.9806560418740558,0.4024978650871943,0.00038511166176019286,0.00038626358638923006,1.4021145325544628
23.0,0.46,0.35415732024968577,1.3750125131525754,1.3588717558177548,1.0118780578562452,0.40098636373435753,0.0003763776120326952,0.0003844614164094685,1.3802259870152482
24.0,0.48,0.3649032046891966,1.3593459132986516,1.3038281482338918,1.0425805848262761,0.39949567123330715,0.0003677229060442423,0.0003821887779306102,1.3586491507195935
25.0,0.5,0.375470293214458,1.3438881983274296,1.2527245907732665,1.072772266327023,0.3980225630224091,0.00035914431338938453,0.0003794694692203882,1.3373795370594774
